(1.95, -0.392, -2.435)
0.13896301, 0.069969654, -0.06185281, 3.069575
0.11536832, 0.084144026, 0.06669673, 2.9256747
0.05571688, 0.12946768, 0.34923762, 3.708133
0.042869702, 0.09125157, 0.43369135, 3.604105
0.04687795, 0.05883163, 0.516279, 3.6035054
0.074671045, 0.038324073, 0.60460055, 3.7534015
0.11885165, 0.03849794, 0.69441277, 3.8832116
0.15124926, 0.040750682, 0.77438414, 3.8214545
0.17517367, 0.041255962, 0.8335588, 3.8478363
0.20995353, 0.03010851, 0.907898, 3.7776847
0.25187117, 0.020002652, 0.9907393, 4.0424013
0.29233295, 0.023286162, 1.052625, 4.117949
0.3476476, 0.03576949, 1.085164, 3.9239836
0.420598, 0.09123262, 1.0957242, 4.2039895
0.4897966, 0.15710562, 1.0929458, 3.751603
0.5420828, 0.23590663, 1.0871912, 4.181805
0.564216, 0.31534752, 1.0627297, 4.1146517
0.5586126, 0.38593856, 1.0238397, 4.121247
0.5248695, 0.4727642, 0.99069947, 4.1074567
0.4773972, 0.5962484, 0.9743313, 4.00103
0.41435546, 0.68641585, 0.96942884, 4.095165
0.3501656, 0.6999278, 0.96758133, 4.0945654
0.28548905, 0.65012115, 0.96038467, 4.16022
0.21381958, 0.57256603, 0.9418072, 4.0954647
0.16734354, 0.4661141, 0.9156066, 4.070582
0.1180671, 0.33015165, 0.8704828, 3.8616266
0.095367156, 0.19537227, 0.85122573, 3.910193
0.07384838, 0.13287148, 0.85257745, 3.771389
0.03516195, 0.107625976, 0.8416242, 3.9209855
-0.0058443034, 0.08520682, 0.84182066, 3.9515643
-0.036908027, 0.075629786, 0.8379846, 4.022915
-0.055256814, 0.07211826, 0.8382683, 3.9833424
-0.08398968, 0.07185083, 0.833713, 3.9662542
-0.12409624, 0.07348221, 0.8268126, 3.8853102
-0.17287256, 0.07199181, 0.82343346, 3.8628259
-0.21083994, 0.06818568, 0.8219343, 4.1638174
-0.23447116, 0.065386124, 0.8191434, 4.53556
-0.24547236, 0.06505967, 0.8135097, 4.673165
-0.24990039, 0.061864708, 0.80278224, 4.404251
-0.24041407, 0.054270063, 0.7816646, 4.4240375
-0.22055145, 0.05114608, 0.75037706, 4.3949575
-0.20196047, 0.051719904, 0.72442055, 4.3472905
-0.19337983, 0.055234227, 0.70412487, 4.264548
-0.17986548, 0.056006897, 0.6823489, 4.191698
-0.15978882, 0.056494866, 0.6531312, 4.2333694
-0.13359636, 0.051458806, 0.60876787, 4.567338
-0.1052552, 0.04374731, 0.55603063, 3.8718195
-0.07918511, 0.033133365, 0.4816348, 4.2417636
-0.06690182, 0.021213658, 0.37971917, 3.4284265
-0.061465345, 0.02060524, 0.24717163, 3.4482129
-0.019716226, 0.049942143, -0.0360505, 3.2065802
0.014187701, 0.04664215, -0.1706669, 3.066877
0.05242981, 0.036777586, -0.3245082, 2.9025905
0.09182936, 0.04922348, -0.48106834, 2.6933355
0.12559801, 0.07394519, -0.6151872, 2.6870399
0.16322887, 0.069358066, -0.76338595, 2.454101
0.20653112, 0.05472302, -0.9220299, 2.2937121
0.2575189, 0.052896697, -1.0872662, 2.1950803
0.31810862, 0.05678794, -1.2355487, 1.9990162
0.37917632, 0.043840278, -1.3854247, 1.8470213
0.4478271, 0.026658319, -1.5339065, 1.7058191
0.50865465, 0.03784219, -1.6650462, 1.6035899
0.5577616, 0.03794624, -1.7274523, 1.4429011
0.5999817, 0.019709617, -1.8683459, 1.3325775
0.63815814, 0.010583249, -2.016669, 1.2045661
0.6807713, 0.017844236, -2.149533, 1.071758
0.7170997, 0.027098073, -2.2619092, 1.0921439
0.7680859, 0.017055672, -2.38659, 1.4183182
